Scenario,MonthIndex,ChargerType,Power_kW,CapEx,MonthlyRevenue,MonthlyOPEX,MonthlyProfit,SessionsPerMonth,ElectricityCost,LandLeaseCost,MaintenanceCost,StaffCost,CRMSoftwareCost,MarketingCost,CumulativeProfit
Optimistic,6,Ultra-Fast DC,150.0,3100000,260000,314000,-54000,325,104000,100000,15000,75000,5000,15000,-324000
Optimistic,7,AC Slow,3.3,65000,9100,53240,-44140,130,6240,15000,1000,20000,3000,8000,-308980
Optimistic,7,DC Fast,60.0,700000,140400,176520,-36120,234,65520,40000,8000,50000,3000,10000,-252840
Optimistic,7,Ultra-Fast DC,150.0,3100000,260000,314000,-54000,325,104000,100000,15000,75000,5000,15000,-378000
Optimistic,8,AC Slow,3.3,65000,9100,53240,-44140,130,6240,15000,1000,20000,3000,8000,-353120
Optimistic,8,DC Fast,60.0,700000,140400,176520,-36120,234,65520,40000,8000,50000,3000,10000,-288960
Optimistic,8,Ultra-Fast DC,150.0,3100000,260000,314000,-54000,325,104000,100000,15000,75000,5000,15000,-432000
Optimistic,9,AC Slow,3.3,65000,9100,53240,-44140,130,6240,15000,1000,20000,3000,8000,-397260
Optimistic,9,DC Fast,60.0,700000,140400,176520,-36120,234,65520,40000,8000,50000,3000,10000,-325080
Optimistic,9,Ultra-Fast DC,150.0,3100000,260000,314000,-54000,325,104000,100000,15000,75000,5000,15000,-486000
Optimistic,10,AC Slow,3.3,65000,9100,53240,-44140,130,6240,15000,1000,20000,3000,8000,-441400
Optimistic,10,DC Fast,60.0,700000,140400,176520,-36120,234,65520,40000,8000,50000,3000,10000,-361200
Optimistic,10,Ultra-Fast DC,150.0,3100000,260000,314000,-54000,325,104000,100000,15000,75000,5000,15000,-540000
Optimistic,11,AC Slow,3.3,65000,9100,53240,-44140,130,6240,15000,1000,20000,3000,8000,-485540
Optimistic,11,DC Fast,60.0,700000,140400,176520,-36120,234,65520,40000,8000,50000,3000,10000,-397320
Optimistic,11,Ultra-Fast DC,150.0,3100000,260000,314000,-54000,325,104000,100000,15000,75000,5000,15000,-594000
Optimistic,12,AC Slow,3.3,65000,9100,53240,-44140,130,6240,15000,1000,20000,3000,8000,-529680
Optimistic,12,DC Fast,60.0,700000,140400,176520,-36120,234,65520,40000,8000,50000,3000,10000,-433440
Optimistic,12,Ultra-Fast DC,150.0,3100000,260000,314000,-54000,325,104000,100000,15000,75000,5000,15000,-648000
Optimistic,13,AC Slow,3.3,65000,9100,53240,-44140,130,6240,15000,1000,20000,3000,8000,-573820
Optimistic,13,DC Fast,60.0,700000,140400,176520,-36120,234,65520,40000,8000,50000,3000,10000,-469560
Optimistic,13,Ultra-Fast DC,150.0,3100000,260000,314000,-54000,325,104000,100000,15000,75000,5000,15000,-702000
Optimistic,14,AC Slow,3.3,65000,9100,53240,-44140,130,6240,15000,1000,20000,3000,8000,-617960
Optimistic,14,DC Fast,60.0,700000,140400,176520,-36120,234,65520,40000,8000,50000,3000,10000,-505680
Optimistic,14,Ultra-Fast DC,150.0,3100000,260000,314000,-54000,325,104000,100000,15000,75000,5000,15000,-756000
Optimistic,15,AC Slow,3.3,65000,9100,53240,-44140,130,6240,15000,1000,20000,3000,8000,-662100
Optimistic,15,DC Fast,60.0,700000,140400,176520,-36120,234,65520,40000,8000,50000,3000,10000,-541800
Optimistic,15,Ultra-Fast DC,150.0,3100000,260000,314000,-54000,325,104000,100000,15000,75000,5000,15000,-810000
Optimistic,16,AC Slow,3.3,65000,9100,53240,-44140,130,6240,15000,1000,20000,3000,8000,-706240
Optimistic,16,DC Fast,60.0,700000,140400,176520,-36120,234,65520,40000,8000,50000,3000,10000,-577920
Optimistic,16,Ultra-Fast DC,150.0,3100000,260000,314000,-54000,325,104000,100000,15000,75000,5000,15000,-864000
